Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Temperature (C)
1681945175.285689,37.875481,-122.258938,0.0,26.871601562499997
1681945180.752389,37.875478,-122.258944,2.5,26.86173828125
1681945186.095057,37.875475,-122.258948,9.0,26.81515625
1681945191.5712717,37.87547,-122.258955,15.5,26.7774609375
1681945197.0574248,37.875465,-122.258963,20.5,26.7270703125
1681945202.3650255,37.875465,-122.258966,18.5,26.6716015625
1681945207.7499292,37.875461,-122.258969,12.5,26.55705078125
1681945213.1288774,37.875435,-122.258983,8.0,26.27423828125
1681945218.4264205,37.875416,-122.258994,6.5,26.13771484375
1681945226.244938,37.875396,-122.258946,2.0,25.85626953125
1681945231.5843008,37.875386,-122.258891,1.5,25.469843750000003
1681945236.9477363,37.875393,-122.258831,1.0,25.292890625
1681945242.3481793,37.875406,-122.258756,1.5,25.1493359375
1681945247.7212815,37.875431,-122.258653,1.0,25.06955078125
1681945253.1292927,37.875448,-122.258548,1.0,24.93888671875
1681945258.5757678,37.875476,-122.258461,2.0,24.585957031249997
1681945263.9663677,37.875515,-122.258426,2.0,24.37794921875
1681945269.3593924,37.875548,-122.258359,2.0,24.19328125
1681945274.7866223,37.875538,-122.25824,2.0,24.0141796875
1681945280.3668332,37.875565,-122.258178,2.0,23.94396484375
1681945286.0649114,37.87556,-122.258125,2.0,23.877265625
1681945291.5634673,37.875496,-122.258076,2.0,23.82287109375
1681945297.0041108,37.875453,-122.258125,2.0,23.736347656249997
1681945302.4118989,37.875429,-122.25804,2.0,23.61115234375
1681945308.0238357,37.875429,-122.257971,2.0,23.3055859375
1681945313.4214196,37.875416,-122.25794,2.0,23.2020703125
1681945318.9078395,37.875405,-122.257938,1.5,23.1266796875
1681945324.3983319,37.875438,-122.257905,1.0,23.12130859375
1681945329.8765953,37.875491,-122.257853,1.0,23.105585937500003
1681945335.4275293,37.875551,-122.25782,0.0,23.127460937499997
1681945340.9700623,37.875635,-122.257761,0.0,23.145527343749997
1681945346.4456704,37.875626,-122.257714,0.0,23.1298046875
1681945351.9854562,37.875598,-122.257648,1.0,22.98576171875
1681945357.5040953,37.875585,-122.257618,5.5,22.9846875
1681945363.1290653,37.875573,-122.257585,6.0,23.0442578125
1681945368.6745598,37.875555,-122.257518,8.0,23.12443359375
1681945374.2814436,37.87562,-122.257541,6.5,23.20509765625
1681945379.8398438,37.875643,-122.257536,3.0,23.34513671875
1681945385.4313293,37.875616,-122.257419,2.0,23.43498046875
1681945391.038674,37.875658,-122.257079,2.0,23.522578125000003
1681945396.6232755,37.875696,-122.256966,2.0,23.6438671875
1681945402.2798736,37.875726,-122.256878,1.0,23.707148437500003
1681945407.891747,37.875756,-122.256793,1.0,23.79328125
1681945413.4808216,37.87578,-122.256783,1.0,23.8630078125
1681945419.1318395,37.875785,-122.256765,1.0,23.940937499999997
1681945424.7119024,37.875768,-122.256795,1.0,23.998359375
1681945430.476011,37.875773,-122.256816,0.0,24.0419140625
1681945436.160202,37.875778,-122.256783,0.0,24.102070312499997
1681945441.7779589,37.875775,-122.256768,0.0,24.104609375000003
1681945447.4314363,37.87576,-122.256795,0.0,24.144550781249997
1681945453.0870962,37.875761,-122.256838,0.0,24.20216796875
1681945458.7880316,37.875761,-122.256836,0.0,24.33
1681945464.4486547,37.875761,-122.256834,0.0,24.374140625000003
1681945470.118118,37.875755,-122.256828,0.0,24.35255859375
1681945475.8731115,37.875753,-122.256809,0.0,24.4341015625
1681945481.606594,37.875753,-122.256795,0.0,24.40421875
1681945487.3331387,37.875793,-122.256696,0.0,24.316914062499997
1681945493.0627253,37.875853,-122.256606,0.0,23.6942578125
1681945498.7097764,37.875895,-122.256576,0.0,23.5497265625
1681945504.4665148,37.875923,-122.256531,0.0,23.521796875
1681945510.239655,37.875936,-122.256519,0.0,23.5946484375
1681945516.026496,37.875901,-122.256378,0.0,23.65109375
1681945521.703443,37.875845,-122.2563,0.0,23.71212890625
1681945527.6298933,37.87578,-122.256139,0.0,23.8063671875
1681945533.4095702,37.875815,-122.256026,1.0,23.863789062499997
1681945539.1759312,37.875803,-122.256053,1.0,23.903046875
1681945545.120215,37.875793,-122.256083,0.0,23.9784375
1681945551.084296,37.875826,-122.256025,0.0,24.026972656250003
1681945556.8466983,37.875848,-122.256006,0.0,23.806269531250003
1681945562.6433134,37.87588,-122.256001,0.0,23.00490234375
1681945568.7253432,37.875871,-122.255859,0.0,22.7587109375
1681945574.735348,37.875886,-122.2558,0.0,22.42521484375
1681945580.5239882,37.875853,-122.255733,0.0,22.242109375
1681945586.3963404,37.875846,-122.25573,2.5,22.23537109375
1681945592.3203127,37.875861,-122.255715,5.0,22.30060546875
1681945598.1495717,37.875891,-122.255685,8.0,22.38810546875
1681945603.949742,37.87593,-122.255671,8.5,22.5278515625
1681945609.839781,37.876001,-122.255699,4.0,22.6657421875
1681945615.674928,37.876018,-122.255676,4.0,22.7266796875
1681945621.600497,37.876128,-122.255685,4.0,22.8415234375
1681945627.491777,37.876221,-122.255686,2.0,22.933124999999997
1681945633.378965,37.876236,-122.255711,2.0,23.037421875
1681945639.3215983,37.876208,-122.25582,2.0,23.19259765625
1681945645.222687,37.876239,-122.255848,2.0,23.34171875
1681945651.274711,37.876281,-122.255901,2.0,23.545527343750003
1681945657.1869485,37.876451,-122.255998,1.0,23.64904296875
1681945663.116727,37.876505,-122.256025,1.0,23.7126171875
1681945669.0179026,37.87657,-122.256053,1.0,23.710566406250003
1681945674.9259837,37.87664,-122.256056,0.5,23.58029296875
1681945680.8741806,37.876658,-122.25602,1.0,23.5059765625
1681945686.8858988,37.876663,-122.256098,1.0,23.529902343750003
1681945693.2630992,37.876676,-122.256105,1.0,23.6403515625
1681945699.2306118,37.876708,-122.256053,0.5,23.73634765625
1681945705.2818172,37.876725,-122.256021,1.0,23.83439453125
1681945711.2627072,37.876735,-122.255976,1.0,23.99806640625
1681945717.253559,37.876738,-122.25593,0.0,24.067109375
1681945723.2472577,37.876743,-122.255919,0.0,24.18205078125
1681945729.2358882,37.876786,-122.255894,0.0,24.183515625
1681945735.252274,37.876821,-122.255901,0.0,24.25705078125
1681945741.2384772,37.876836,-122.25589,1.0,24.408515625
1681945747.4309113,37.876795,-122.255878,1.0,24.666328125
1681945753.5084574,37.87681,-122.255888,1.0,24.77267578125
1681945759.5238352,37.876849,-122.255891,1.0,24.87248046875
1681945765.58835,37.876885,-122.25589,1.0,24.94708984375
1681945771.5997076,37.876936,-122.255883,1.5,25.01173828125
1681945777.7397904,37.877074,-122.255901,2.0,25.11310546875
1681945783.8190455,37.877118,-122.25588,2.0,25.18185546875
1681945789.9587116,37.877183,-122.255865,2.0,25.2454296875
1681945795.9756038,37.877181,-122.255845,2.0,25.2430859375
1681945802.094794,37.87719,-122.255809,1.0,25.18341796875
1681945808.2926357,37.877191,-122.255796,1.5,25.17365234375
1681945814.4552708,37.87719,-122.25578,2.0,25.17580078125
1681945820.5204134,37.877193,-122.255778,2.0,25.158808593750003
1681945826.7634287,37.87719,-122.255781,2.0,25.29123046875
1681945833.0519047,37.87717,-122.25579,2.0,25.406855468750003
1681945839.1896741,37.877124,-122.255741,2.0,25.278437500000003
1681945845.3173704,37.87713,-122.25578,2.0,25.14748046875
1681945851.4829493,37.87714,-122.255808,2.0,25.070234375
1681945857.6189618,37.877143,-122.25594,2.0,25.0614453125
1681945863.8410792,37.877041,-122.256003,2.0,25.07306640625
1681945869.971463,37.876975,-122.256011,1.5,25.0946484375
1681945876.1932647,37.876978,-122.256003,1.0,25.0934765625
1681945882.3588932,37.87691,-122.256045,1.0,25.0891796875
1681945889.0369928,37.876881,-122.25602,1.0,25.0868359375
1681945895.9414985,37.87683,-122.255986,1.0,25.217890625
1681945902.757459,37.876788,-122.256001,0.0,25.46095703125
1681945909.349227,37.876795,-122.255981,0.0,25.733906249999997
1681945915.7719984,37.876786,-122.25595,0.0,25.89435546875
1681945922.0101469,37.876766,-122.255926,0.0,26.160175781249997
1681945928.38895,37.876741,-122.25593,0.0,26.478046875
1681945934.7354267,37.876749,-122.255931,0.0,26.663203125000003
1681945941.062362,37.876749,-122.255933,0.0,26.94552734375
1681945947.34062,37.876751,-122.255925,0.0,27.1180859375
1681945953.6657267,37.876746,-122.255925,0.0,27.21271484375
1681945959.9236736,37.876743,-122.25593,0.0,27.37130859375
1681945966.2509365,37.876728,-122.255941,0.0,27.613984375
1681945972.5142395,37.876733,-122.255969,0.0,27.81291015625
1681945978.8638816,37.876725,-122.256026,0.0,28.0716015625
1681945985.3110704,37.87673,-122.256055,0.0,28.26388671875
1681945991.6272717,37.87671,-122.256113,0.0,28.353046874999997
1681945998.0117033,37.876698,-122.256211,0.0,28.50568359375
1681946004.3502839,37.87667,-122.256265,0.0,28.57599609375
1681946010.6619895,37.87666,-122.256311,0.0,28.62287109375
1681946017.025045,37.876666,-122.256365,0.0,28.619648437499997
1681946023.393582,37.87666,-122.256446,0.0,28.569453125000003
1681946029.78816,37.876663,-122.256498,0.0,28.45236328125
1681946036.099152,37.876649,-122.256558,0.0,28.41818359375
1681946042.3857872,37.876641,-122.256618,0.0,28.30900390625
1681946048.9600365,37.876623,-122.256723,0.0,28.24435546875
1681946055.3262825,37.876611,-122.256783,0.0,28.10763671875
1681946061.7104716,37.87659,-122.256853,1.0,27.9387890625
1681946068.2217083,37.876551,-122.256941,1.0,27.89796875
1681946074.573078,37.876556,-122.257015,1.0,27.7716015625
1681946080.9446802,37.876566,-122.257075,1.0,27.697382812500003
1681946087.3682466,37.876564,-122.257143,1.0,27.59494140625
1681946093.9374878,37.876558,-122.257296,1.0,27.44484375
1681946100.3458781,37.876533,-122.257384,1.0,27.3399609375
1681946106.8428032,37.876526,-122.257448,1.0,27.23576171875
1681946113.5487509,37.876501,-122.257543,1.0,27.14787109375
1681946120.217608,37.876493,-122.257536,1.0,27.12853515625
1681946127.4741411,37.87649,-122.257538,0.0,27.20158203125
1681946134.1205597,37.876483,-122.257546,0.0,27.3122265625
1681946140.5797846,37.87647,-122.257618,0.0,27.37189453125
1681946147.1320062,37.876466,-122.257685,0.0,27.15099609375
1681946153.6226313,37.876445,-122.257825,0.0,26.914375
1681946160.1074743,37.876441,-122.257878,0.0,26.9024609375
1681946166.6350646,37.876426,-122.257931,0.0,26.96837890625
1681946173.3477368,37.876403,-122.258044,1.0,27.03615234375
1681946179.8631318,37.876406,-122.258083,1.0,27.0313671875
1681946186.3754241,37.876416,-122.258139,1.0,26.93205078125
1681946192.9362762,37.876426,-122.258203,1.0,26.84455078125
1681946199.4610653,37.876388,-122.258386,1.0,26.835078125000003
1681946206.0022354,37.876381,-122.25845,1.0,26.77921875
1681946212.6308615,37.87641,-122.25849,1.0,26.413984375
1681946219.210279,37.876388,-122.258586,1.0,26.135078125
1681946225.8422482,37.876376,-122.258593,1.0,25.92775390625
1681946232.6545115,37.87635,-122.258591,0.0,25.86984375
1681946239.3258522,37.876225,-122.258583,0.0,25.87228515625
1681946245.9915125,37.876185,-122.258636,0.0,25.5925
1681946252.5986652,37.876183,-122.258705,0.0,25.407734374999997
1681946259.261627,37.876188,-122.25885,0.0,25.40080078125
1681946265.9700027,37.87618,-122.258906,0.0,25.26046875
1681946272.6665235,37.876173,-122.258966,1.0,25.12794921875
1681946279.307268,37.876193,-122.259138,1.0,25.13224609375
1681946285.8816936,37.876175,-122.259178,1.0,25.141718750000003
1681946292.6867087,37.87616,-122.25923,1.0,25.19865234375
1681946299.4668634,37.876121,-122.259334,1.0,25.221796875000003
1681946306.1581502,37.876101,-122.259381,1.0,25.27501953125
1681946312.7561345,37.87607,-122.259435,0.5,25.40333984375
1681946319.498018,37.876098,-122.259583,1.0,25.48009765625
1681946326.2022307,37.87606,-122.259611,1.0,25.52697265625
1681946332.7799244,37.875998,-122.25961,0.0,25.54650390625
1681946339.5087714,37.875891,-122.259558,0.0,25.57921875
1681946346.5830708,37.875843,-122.259523,0.0,25.57912109375
1681946353.2628834,37.875798,-122.259494,0.0,25.57736328125
1681946359.9793665,37.875758,-122.259466,1.0,25.63595703125
1681946366.8240674,37.875745,-122.259456,1.0,25.7247265625
1681946373.5951195,37.875735,-122.259445,1.5,25.8192578125
1681946380.3825116,37.875661,-122.259473,1.0,25.8673046875
1681946387.1060495,37.875613,-122.259463,1.0,25.88439453125
1681946394.1065695,37.875565,-122.259438,1.0,25.86720703125
1681946400.8809483,37.87549,-122.259393,1.0,25.7348828125
1681946407.6428576,37.875406,-122.259366,1.0,25.5618359375
1681946414.4869082,37.875308,-122.259318,1.0,25.55255859375
1681946421.2600226,37.875285,-122.259303,1.0,25.555390625
1681946428.0344079,37.875283,-122.259288,1.0,25.566914062499997
1681946434.9026237,37.875325,-122.259238,1.0,25.58986328125
1681946441.6189713,37.875338,-122.259188,1.0,25.5923046875
1681946448.672366,37.875348,-122.259135,1.0,25.5817578125
1681946455.5875628,37.875381,-122.259048,1.0,25.64376953125
1681946462.4508252,37.875386,-122.259035,1.0,25.71349609375
1681946469.393704,37.87539,-122.259023,1.0,25.837910156249997
1681946476.2048378,37.875393,-122.259015,1.0,25.91427734375
1681946483.110132,37.875393,-122.25901,1.0,25.924335937499997
